id_operacion,fecha_originacion,producto,canal,region,monto_original,plazo_meses,renta,carga_financiera,antiguedad_meses,score,saldo,dias_mora,fecha_default
B000069,2025-01-19,Consumo,Digital,Metropolitana,771162,48,424454,0.046,25,799,424691,0,
B000070,2025-08-27,Consumo,Sucursal,Metropolitana,3746266,48,827578,0.1125,9,867,3037211,0,
B000071,2025-05-24,Automotriz,Convenio,Valparaíso,3670962,18,777193,0.2863,4,773,453271,0,
B000072,2025-08-15,Automotriz,Convenio,Otras,2584693,48,420000,0.1523,25,842,414747,0,
B000073,2025-10-10,Tarjeta,Digital,Metropolitana,637942,48,420000,0.0379,17,756,319237,0,
B000074,2025-07-29,Consumo,Convenio,Otras,2364345,60,694507,0.0687,41,877,2096140,152,2026-01-25
B000075,2025-07-10,Consumo,Convenio,Metropolitana,3196821,24,423123,0.3383,22,682,1758800,0,
B000076,2025-09-05,Automotriz,Sucursal,Otras,1048153,36,702104,0.0501,27,869,120836,0,
B000077,2025-09-28,Tarjeta,Digital,Biobío,4916215,36,612262,0.2444,12,691,2664028,52,
B000078,2025-03-17,Consumo,Convenio,Biobío,1199571,48,496209,0.0592,9,757,351141,0,
B000079,2025-06-21,Consumo,Sucursal,Otras,7791033,60,1503346,0.1053,75,950,3159001,0,
B000080,2025-06-27,Consumo,Digital,Metropolitana,2476279,12,1527959,0.1595,18,896,1966024,0,
B000081,2025-07-08,Automotriz,Digital,Metropolitana,2938708,24,724265,0.1902,5,764,1698511,0,
B000082,2025-06-30,Consumo,Convenio,Otras,2975687,24,565627,0.2598,20,783,2138794,0,
B000083,2025-09-17,Tarjeta,Digital,Metropolitana,2642328,24,658890,0.1971,14,737,1226784,0,
B000084,2025-08-04,Automotriz,Sucursal,Otras,1625431,48,732726,0.0528,41,921,280534,0,
B000085,2025-04-16,Consumo,Convenio,Metropolitana,7614556,60,1101109,0.1223,5,842,4860191,0,
B000086,2025-11-03,Automotriz,Digital,Otras,3321548,12,572731,0.519,18,626,916970,0,
B000087,2025-08-15,Consumo,Convenio,Otras,7007549,18,1097497,0.3975,18,700,4689165,0,
B000088,2025-04-22,Tarjeta,Sucursal,Biobío,3264887,24,1332274,0.1093,14,845,1349007,87,
B000089,2025-06-28,Consumo,Sucursal,Biobío,855870,60,420000,0.0408,16,847,294483,0,
B000090,2025-10-28,Consumo,Sucursal,Metropolitana,798509,60,420000,0.035,7,831,86504,0,
B000091,2025-02-15,Tarjeta,Digital,Otras,4830264,60,595027,0.1641,17,746,1930482,0,
B000092,2025-05-24,Consumo,Digital,Otras,4974098,36,569685,0.2863,23,727,851834,19,
B000093,2025-05-23,Microempresa,Convenio,Valparaíso,2722983,36,653164,0.1249,12,884,1594688,0,
B000094,2025-03-11,Consumo,Sucursal,Otras,4902531,24,605943,0.3808,15,674,1170633,0,
B000095,2025-04-24,Consumo,Digital,Otras,2083593,18,632536,0.2196,16,749,712798,0,
B000096,2025-06-10,Microempresa,Sucursal,Otras,1129440,60,420000,0.0514,9,769,870984,0,
B000097,2025-02-10,Microempresa,Digital,Metropolitana,4716791,36,556373,0.2666,6,752,1857363,0,
B000098,2025-03-16,Tarjeta,Digital,Biobío,4892566,36,1096178,0.1333,18,832,4055812,0,
B000099,2025-02-24,Microempresa,Digital,Metropolitana,956390,60,622663,0.0303,112,950,756216,0,
B000100,2025-01-01,Automotriz,Sucursal,Otras,8866486,60,1060402,0.1584,94,906,2261471,0,
B000101,2025-07-02,Tarjeta,Digital,Valparaíso,3130119,36,456914,0.2129,3,755,679471,80,
B000102,2025-02-04,Microempresa,Digital,Metropolitana,1715470,60,530980,0.064,33,890,436856,0,
B000103,2025-07-26,Consumo,Sucursal,Biobío,803039,60,515181,0.0298,26,906,95892,0,
B000104,2025-04-22,Consumo,Digital,Metropolitana,7340605,36,962348,0.2459,36,887,754183,0,
B000105,2025-06-26,Tarjeta,Digital,Biobío,7897872,60,1755248,0.0885,37,902,6255557,0,
B000106,2025-11-22,Tarjeta,Digital,Otras,4394656,12,731226,0.5419,21,623,3986979,90,2026-04-21
B000107,2025-10-07,Automotriz,Convenio,Otras,2653934,48,545553,0.1107,16,835,1522822,21,
B000108,2025-10-29,Automotriz,Sucursal,Metropolitana,1714608,24,603503,0.1303,39,838,436748,0,
B000109,2025-07-30,Consumo,Digital,Metropolitana,2433748,24,420000,0.2727,39,812,653291,0,
B000110,2025-12-18,Automotriz,Digital,Valparaíso,3423956,48,420000,0.1963,8,734,1389142,0,
B000111,2025-04-12,Microempresa,Sucursal,Metropolitana,8248233,18,1910120,0.2811,9,768,7983915,163,2026-08-05
B000112,2025-11-28,Automotriz,Digital,Valparaíso,819286,60,662986,0.0223,14,806,530827,0,
B000113,2025-11-23,Microempresa,Convenio,Metropolitana,9241084,18,1245398,0.4455,13,784,7122014,0,
B000114,2025-06-20,Tarjeta,Convenio,Metropolitana,2018438,36,420000,0.1426,6,716,1578352,16,
B000115,2025-06-27,Automotriz,Convenio,Biobío,4633195,48,656719,0.1645,19,790,759859,0,
B000116,2025-05-02,Automotriz,Sucursal,Otras,1838936,48,447623,0.0976,47,902,402280,0,
B000117,2025-03-17,Consumo,Digital,Valparaíso,2883024,18,420000,0.4319,27,673,2116432,179,2025-10-13
B000118,2025-08-25,Tarjeta,Digital,Metropolitana,2035112,48,504281,0.0985,9,739,364460,0,
B000119,2025-05-15,Automotriz,Convenio,Otras,5280574,36,699537,0.251,12,783,1532364,0,
B000120,2025-12-15,Consumo,Digital,Metropolitana,1769552,48,696688,0.0562,30,862,576961,0,
B000121,2025-04-25,Microempresa,Digital,Metropolitana,1356685,60,711583,0.0376,31,879,557671,1,
B000122,2025-08-14,Consumo,Digital,Metropolitana,7539664,36,887681,0.2645,9,751,4967217,90,2026-08-09
B000123,2025-04-19,Tarjeta,Convenio,Otras,1921853,60,825359,0.0413,33,887,532225,0,
B000124,2025-05-30,Consumo,Sucursal,Otras,3670624,24,420000,0.4411,13,628,3410178,153,2026-02-24
B000125,2025-11-06,Microempresa,Sucursal,Valparaíso,3048038,60,734435,0.0778,42,882,2110644,4,
B000126,2025-07-18,Tarjeta,Digital,Otras,4467277,18,729283,0.3832,28,681,3560279,0,
B000127,2025-10-10,Consumo,Digital,Metropolitana,7185600,36,877585,0.2483,19,835,1239044,50,
B000128,2025-09-01,Consumo,Convenio,Biobío,595258,60,420000,0.0264,17,831,300555,0,
B000129,2025-11-28,Consumo,Convenio,Otras,2744606,18,420000,0.4259,23,702,2069736,0,
B000130,2025-01-10,Consumo,Convenio,Biobío,6001961,18,1351852,0.2705,21,818,4624164,0,
B000131,2025-11-03,Automotriz,Digital,Metropolitana,6353473,36,1175552,0.174,37,867,3397608,0,
B000132,2025-10-13,Tarjeta,Sucursal,Metropolitana,2957496,24,497622,0.2927,10,774,2758442,90,2026-06-10
B000133,2025-10-15,Tarjeta,Convenio,Metropolitana,601074,24,485941,0.0555,2,854,247978,0,
B000134,2025-04-19,Consumo,Convenio,Otras,1142521,18,733378,0.0932,23,865,150561,0,
B000135,2025-05-16,Automotriz,Sucursal,Metropolitana,1374526,36,420000,0.0974,19,804,602887,0,
B000136,2025-05-01,Tarjeta,Digital,Biobío,12285634,18,1721112,0.4245,25,737,10293173,123,2027-01-21
B000137,2025-08-13,Consumo,Digital,Biobío,2970280,24,420000,0.3518,7,703,801813,0,
B000138,2025-08-02,Consumo,Digital,Biobío,1573346,24,752255,0.1023,9,840,487699,0,
B000139,2025-06-14,Tarjeta,Sucursal,Metropolitana,3722452,36,804591,0.1393,20,784,3420391,112,2025-08-13
B000140,2025-07-08,Automotriz,Sucursal,Metropolitana,3770596,24,420445,0.453,14,631,1996916,9,
B000141,2025-10-29,Consumo,Sucursal,Valparaíso,1637971,24,420000,0.1891,11,707,233398,40,
B000142,2025-03-24,Tarjeta,Sucursal,Valparaíso,3459975,18,486996,0.4299,7,658,1722269,76,
B000143,2025-03-20,Consumo,Convenio,Metropolitana,1660730,60,979969,0.0314,7,821,567655,0,
B000144,2025-11-05,Consumo,Sucursal,Metropolitana,958349,36,420000,0.0681,39,858,411359,0,
B000145,2025-02-19,Consumo,Digital,Metropolitana,754323,24,420000,0.0812,18,741,381067,0,
B000146,2025-12-08,Consumo,Digital,Metropolitana,9536298,18,1175233,0.5219,6,646,8331841,117,2026-09-04
B000147,2025-05-13,Tarjeta,Digital,Biobío,2212459,24,420000,0.2452,19,691,1897586,459,2026-05-08
B000148,2025-06-15,Consumo,Digital,Metropolitana,3257600,36,518952,0.1891,10,807,2492027,0,
B000149,2025-06-21,Consumo,Sucursal,Valparaíso,3264702,24,539757,0.2875,17,757,1872569,0,
B000150,2025-11-06,Tarjeta,Sucursal,Valparaíso,1729145,36,529839,0.1061,7,773,1103514,0,
B000151,2025-11-21,Automotriz,Digital,Metropolitana,1774616,24,420000,0.2083,12,751,681683,0,
B000152,2025-12-24,Automotriz,Digital,Otras,903902,36,420000,0.0687,33,845,676493,0,
B000153,2025-03-20,Microempresa,Digital,Valparaíso,661010,48,420000,0.0383,21,811,141676,0,
B000154,2025-10-27,Consumo,Sucursal,Biobío,4498665,36,537678,0.2747,14,732,2592504,38,
B000155,2025-07-07,Consumo,Sucursal,Valparaíso,5030124,36,597134,0.2532,41,782,1318050,0,
B000156,2025-04-12,Consumo,Sucursal,Metropolitana,897397,48,496318,0.0425,20,865,566177,0,
B000157,2025-09-13,Automotriz,Convenio,Metropolitana,2507916,60,1046979,0.0442,23,927,545613,0,
B000158,2025-01-04,Tarjeta,Digital,Valparaíso,2045631,60,657918,0.0561,32,822,1331639,263,2025-07-03
B000159,2025-01-16,Consumo,Sucursal,Metropolitana,2155370,18,420000,0.3211,9,696,1461008,320,2025-07-15
B000160,2025-01-19,Tarjeta,Sucursal,Otras,6113137,48,719542,0.1932,30,846,2466088,0,
B000161,2025-11-07,Consumo,Digital,Metropolitana,2627471,48,420000,0.1453,8,812,607361,0,
B000162,2025-07-01,Tarjeta,Sucursal,Otras,3787249,36,655910,0.1775,7,714,2158919,0,
B000163,2025-07-24,Automotriz,Digital,Biobío,1720445,60,565161,0.0561,51,852,1152870,0,
B000164,2025-06-13,Consumo,Digital,Metropolitana,2705851,36,420000,0.2116,10,728,1333996,0,
B000165,2025-02-23,Consumo,Sucursal,Otras,3080297,24,618095,0.2402,13,754,755814,0,
B000166,2025-03-21,Tarjeta,Sucursal,Metropolitana,2380731,36,535236,0.1313,27,790,1027733,0,
B000167,2025-10-27,Consumo,Sucursal,Valparaíso,2735485,36,420000,0.1949,39,803,876392,0,
B000168,2025-07-20,Automotriz,Digital,Otras,5820939,60,666994,0.1679,15,765,1608615,0,
B000169,2025-11-24,Consumo,Sucursal,Otras,1981722,48,882889,0.0503,8,891,1339965,0,
B000170,2025-06-15,Microempresa,Sucursal,Metropolitana,3192126,24,582489,0.2551,7,725,2228134,0,
B000171,2025-01-18,Automotriz,Sucursal,Valparaíso,2046399,18,616397,0.2099,12,841,1067029,0,
B000172,2025-10-16,Consumo,Digital,Biobío,2870382,24,1735257,0.0764,31,950,686037,0,
B000173,2025-04-18,Consumo,Convenio,Valparaíso,4033778,24,505829,0.3797,27,716,1932541,0,
B000174,2025-09-18,Automotriz,Sucursal,Otras,3500279,36,535806,0.1932,50,899,2152288,0,
B000175,2025-10-09,Tarjeta,Sucursal,Biobío,982829,36,522580,0.0574,24,782,820825,68,
B000176,2025-11-25,Consumo,Digital,Biobío,2157419,36,528163,0.1334,6,844,1142664,0,
B000177,2025-03-19,Automotriz,Digital,Biobío,6725740,24,772167,0.4344,25,715,773907,0,
B000178,2025-05-29,Consumo,Convenio,Metropolitana,3014170,48,420000,0.1593,16,782,1111978,0,
B000179,2025-09-19,Consumo,Digital,Biobío,2710381,18,963405,0.1661,19,844,2302085,0,
B000180,2025-05-09,Automotriz,Sucursal,Metropolitana,4358385,36,1136519,0.1216,33,928,1013141,77,
B000181,2025-04-07,Automotriz,Sucursal,Metropolitana,3343075,60,420000,0.1454,15,752,479974,0,
B000182,2025-01-17,Consumo,Convenio,Biobío,2431164,48,477888,0.1189,10,793,1983124,0,
B000183,2025-06-22,Consumo,Convenio,Otras,8353311,24,1036341,0.3866,8,740,7587796,90,2026-07-17
B000184,2025-05-14,Tarjeta,Sucursal,Metropolitana,2851488,60,420000,0.1249,52,867,1615715,0,
B000185,2025-09-22,Consumo,Convenio,Metropolitana,5629787,48,1719250,0.0729,48,950,3312134,0,
B000186,2025-03-06,Consumo,Sucursal,Metropolitana,4366288,36,576989,0.2253,6,695,2567190,0,
B000187,2025-02-19,Consumo,Convenio,Biobío,5699032,24,999610,0.2611,18,862,3222223,0,
B000188,2025-07-11,Consumo,Sucursal,Biobío,2322778,18,534079,0.2733,10,707,583528,0,
B000189,2025-09-16,Consumo,Digital,Metropolitana,5208540,36,1122618,0.156,15,814,2376669,0,
B000190,2025-11-10,Consumo,Digital,Biobío,3840246,60,667269,0.1107,26,885,765419,0,
B000191,2025-02-20,Tarjeta,Convenio,Metropolitana,5217277,36,688198,0.2308,46,869,3078573,0,
B000192,2025-09-08,Consumo,Sucursal,Otras,1092573,12,758091,0.1384,20,824,588908,0,
B000193,2025-12-22,Microempresa,Convenio,Metropolitana,1129603,12,857463,0.1329,25,886,621400,0,
B000194,2025-09-17,Automotriz,Sucursal,Biobío,5914574,36,1439722,0.1216,31,823,674383,0,
B000195,2025-05-17,Tarjeta,Sucursal,Biobío,3309841,12,420000,0.7261,14,517,2308639,0,
B000196,2025-07-19,Tarjeta,Convenio,Biobío,3629270,12,714515,0.4725,24,726,1659218,0,
B000197,2025-09-03,Tarjeta,Sucursal,Valparaíso,5285985,48,946411,0.1363,26,913,4056086,0,
B000198,2025-12-15,Tarjeta,Convenio,Valparaíso,3843321,36,1037312,0.1232,14,873,1354062,0,
B000199,2025-03-31,Microempresa,Digital,Valparaíso,1604709,24,464098,0.1733,20,806,1019055,64,
B000200,2025-02-05,Tarjeta,Digital,Valparaíso,1836302,18,478664,0.234,29,867,1132263,331,2025-03-07
B000201,2025-12-16,Tarjeta,Convenio,Metropolitana,4919236,18,1273780,0.2363,22,784,4013907,0,
B000202,2025-09-28,Automotriz,Sucursal,Valparaíso,1437520,36,420000,0.1055,30,839,226380,0,
B000203,2025-02-24,Consumo,Digital,Otras,12264602,12,1428224,0.828,12,562,10178064,90,2025-12-21
B000204,2025-10-06,Tarjeta,Sucursal,Otras,2099501,24,675522,0.1476,8,788,1340162,0,
B000205,2025-02-15,Automotriz,Sucursal,Metropolitana,671021,24,420000,0.0706,24,802,232272,0,
B000206,2025-04-01,Tarjeta,Digital,Otras,2678004,24,459418,0.2936,18,694,274279,27,
B000207,2025-05-10,Tarjeta,Sucursal,Metropolitana,904454,60,420000,0.0389,37,865,613498,88,
B000208,2025-12-17,Microempresa,Digital,Metropolitana,2532796,48,420000,0.1336,21,777,2005479,0,
B000209,2025-03-06,Consumo,Digital,Valparaíso,3552847,60,542800,0.1164,8,817,2815061,0,
B000210,2025-07-06,Tarjeta,Convenio,Biobío,3069012,48,538638,0.135,19,781,2112416,0,
B000211,2025-12-12,Automotriz,Digital,Otras,3943023,60,522672,0.1522,28,779,2961952,223,2026-03-12
B000212,2025-09-14,Microempresa,Sucursal,Biobío,2670816,48,520494,0.1261,37,929,1787831,0,
B000213,2025-05-08,Consumo,Sucursal,Valparaíso,5860856,60,669290,0.156,9,822,4163138,90,2025-11-04
B000214,2025-10-27,Tarjeta,Sucursal,Metropolitana,2900219,36,420000,0.2238,57,805,2104064,0,
B000215,2025-09-21,Consumo,Sucursal,Metropolitana,5430109,60,1388872,0.0719,59,950,2869042,0,
B000216,2025-02-22,Microempresa,Sucursal,Biobío,3035875,12,468475,0.5908,15,610,1735429,90,2026-02-17
B000217,2025-03-04,Tarjeta,Convenio,Valparaíso,5208763,36,680370,0.2352,36,807,4546087,438,2025-08-01
B000218,2025-09-29,Consumo,Sucursal,Metropolitana,3574802,18,595009,0.3762,6,691,2338563,55,
B000219,2025-08-16,Automotriz,Sucursal,Biobío,5522890,36,732857,0.2542,26,786,806331,0,
B000220,2025-06-06,Tarjeta,Digital,Valparaíso,3618059,18,430756,0.5048,21,654,709001,0,
B000221,2025-03-17,Consumo,Sucursal,Otras,1075285,24,455993,0.1083,27,825,410592,18,
B000222,2025-08-04,Consumo,Sucursal,Otras,5842975,24,660319,0.4059,46,823,2092457,0,
B000223,2025-05-01,Tarjeta,Sucursal,Biobío,2775676,18,570576,0.3136,27,670,1872603,0,
B000224,2025-05-07,Tarjeta,Sucursal,Metropolitana,3508086,48,908782,0.0884,27,813,2602561,181,2026-03-03
B000225,2025-04-18,Automotriz,Sucursal,Biobío,1058423,60,666085,0.0311,23,855,877121,0,
B000226,2025-01-17,Consumo,Sucursal,Metropolitana,2135894,12,1729050,0.1194,40,914,1130020,0,
B000227,2025-04-25,Automotriz,Convenio,Valparaíso,4589360,18,808470,0.3495,11,754,4014924,90,2026-02-19
B000228,2025-05-18,Microempresa,Convenio,Metropolitana,1826058,12,1036008,0.1597,21,814,365689,0,
B000229,2025-10-10,Tarjeta,Sucursal,Metropolitana,5193428,12,603066,0.7911,15,571,4861637,438,2027-02-02
B000230,2025-04-08,Automotriz,Sucursal,Metropolitana,2546875,24,691149,0.1737,19,870,1988206,0,
B000231,2025-06-04,Automotriz,Convenio,Metropolitana,1249209,36,446726,0.0869,14,811,818564,0,
B000232,2025-10-08,Consumo,Digital,Metropolitana,2725846,48,420000,0.1447,18,821,707518,0,
B000233,2025-12-16,Automotriz,Digital,Otras,1304163,60,918889,0.0265,19,850,991683,0,
B000234,2025-07-01,Consumo,Digital,Metropolitana,3028402,36,647652,0.145,18,856,1474598,0,
B000235,2025-12-24,Consumo,Sucursal,Otras,1050138,48,432920,0.0539,21,836,869399,0,
B000236,2025-02-03,Automotriz,Digital,Metropolitana,1360859,36,1132492,0.0402,29,913,660526,0,
B000237,2025-10-03,Automotriz,Sucursal,Valparaíso,3790086,36,639697,0.1763,25,742,1002517,0,
B000238,2025-01-23,Consumo,Digital,Biobío,4611865,24,943682,0.2399,19,788,860251,0,
B000239,2025-04-12,Consumo,Convenio,Metropolitana,2643515,24,420000,0.2814,15,712,683454,0,
B000240,2025-06-01,Automotriz,Sucursal,Valparaíso,2158223,48,796378,0.0675,18,935,611622,0,
B000241,2025-06-12,Tarjeta,Sucursal,Metropolitana,1704285,24,564961,0.1428,7,762,1086163,0,
B000242,2025-08-16,Tarjeta,Sucursal,Biobío,752699,24,487474,0.0782,3,780,411784,0,
B000243,2025-09-24,Consumo,Convenio,Metropolitana,1926275,24,644495,0.148,39,911,808903,0,
B000244,2025-09-15,Consumo,Digital,Valparaíso,3414418,36,420000,0.2525,21,682,2830118,90,2026-09-10
B000245,2025-03-19,Tarjeta,Digital,Biobío,4590293,60,542793,0.153,14,780,1535129,0,
B000246,2025-05-23,Consumo,Digital,Otras,8765613,36,1081914,0.2691,40,823,4113290,0,
B000247,2025-07-02,Consumo,Sucursal,Metropolitana,2043082,24,484803,0.2045,16,757,898580,0,
B000248,2025-07-23,Consumo,Sucursal,Biobío,2993470,18,420000,0.4768,11,635,1698894,0,
B000249,2025-03-26,Automotriz,Sucursal,Biobío,3673584,48,420000,0.2083,28,833,1683661,34,
B000250,2025-12-28,Consumo,Digital,Metropolitana,3593786,24,540649,0.328,31,785,1668170,0,
B000251,2025-09-12,Consumo,Sucursal,Biobío,2397373,48,955708,0.0585,16,888,1818932,0,
B000252,2025-07-14,Microempresa,Sucursal,Otras,4508348,60,518688,0.1735,20,810,539356,0,
B000253,2025-12-25,Consumo,Convenio,Metropolitana,3466476,24,420000,0.3701,22,738,2763325,0,
B000254,2025-08-18,Consumo,Sucursal,Otras,2171209,18,420000,0.3311,11,762,580975,0,
B000255,2025-03-14,Microempresa,Sucursal,Otras,2930533,36,454729,0.2083,21,872,2375717,0,
B000256,2025-05-01,Tarjeta,Digital,Biobío,2677181,60,752717,0.0681,20,813,1669380,0,
B000257,2025-12-14,Automotriz,Sucursal,Biobío,5829685,48,1127028,0.1291,49,917,2467145,0,
B000258,2025-01-27,Automotriz,Sucursal,Biobío,709258,12,420000,0.1493,17,813,305690,0,
B000259,2025-04-05,Consumo,Convenio,Metropolitana,3762162,60,478127,0.1479,12,802,2432989,0,
B000260,2025-08-17,Tarjeta,Sucursal,Metropolitana,3640654,24,630830,0.2932,30,830,1662358,0,
