id_operacion,producto,region,saldo,score,dias_mora,linea_no_usada,factor_conversion,pd_12m,pd_lifetime,lgd
A007326,Consumo,Valparaíso,731830,858,0,0,0.0,0.005255,0.011165,0.5903
A013709,Tarjeta,Metropolitana,2028382,780,0,3529525,0.4,0.014932,0.032426,0.7084
A004923,Automotriz,Metropolitana,1393653,883,0,0,0.0,0.003754,0.012635,0.4007
A001258,Consumo,Biobío,1579855,738,0,0,0.0,0.026043,0.088056,0.5955
A009798,Tarjeta,Metropolitana,381538,924,0,646777,0.4,0.002161,0.005855,0.7224
A008331,Tarjeta,Metropolitana,6959081,892,0,6700287,0.4,0.003326,0.010774,0.7643
A014997,Consumo,Biobío,7536911,747,129,0,0.0,0.02313,0.060023,0.6528
A012328,Consumo,Metropolitana,1681711,814,0,0,0.0,0.009484,0.023627,0.6203
A005333,Microempresa,Valparaíso,1437414,884,191,907861,0.4,0.003704,0.01008,0.5135
A008912,Consumo,Otras,99782,849,0,0,0.0,0.005931,0.017836,0.586
A003358,Automotriz,Metropolitana,377518,778,0,0,0.0,0.015335,0.045585,0.3761
A001345,Tarjeta,Metropolitana,1521435,831,0,3239441,0.4,0.007552,0.018893,0.657
A014550,Microempresa,Metropolitana,1458615,836,61,2490208,0.4,0.007062,0.020758,0.5631
A014423,Tarjeta,Metropolitana,719831,854,0,1438547,0.4,0.005546,0.015009,0.7718
A003698,Tarjeta,Otras,4244897,748,0,3267954,0.4,0.022826,0.050391,0.715
A014653,Automotriz,Metropolitana,7295294,695,0,0,0.0,0.045628,0.137953,0.424
A003518,Consumo,Metropolitana,6423627,941,0,0,0.0,0.001718,0.004197,0.6179
A003819,Consumo,Valparaíso,1576593,846,0,0,0.0,0.006175,0.014608,0.6037
A005640,Consumo,Valparaíso,235826,828,0,0,0.0,0.007862,0.021925,0.5649
A002597,Consumo,Metropolitana,4324918,815,0,0,0.0,0.009358,0.02791,0.5801
A004997,Consumo,Metropolitana,780993,849,0,0,0.0,0.005931,0.015727,0.609
A006917,Tarjeta,Biobío,3242243,711,94,3222228,0.4,0.037085,0.090745,0.682
A011043,Automotriz,Metropolitana,651857,738,0,0,0.0,0.026043,0.066269,0.413
A011149,Microempresa,Metropolitana,2355224,798,90,2377446,0.4,0.011746,0.03417,0.5296
A014499,Consumo,Metropolitana,970813,834,0,0,0.0,0.007254,0.022669,0.61
A005867,Automotriz,Otras,4417931,529,94,0,0.0,0.310604,0.97,0.3961
A009351,Automotriz,Otras,1638562,784,0,0,0.0,0.014158,0.036218,0.3146
A013608,Automotriz,Biobío,2761060,819,90,0,0.0,0.00887,0.021517,0.3792
A009385,Consumo,Metropolitana,3151189,950,0,0,0.0,0.001522,0.003925,0.6402
A012525,Consumo,Metropolitana,3705632,790,0,0,0.0,0.013069,0.041158,0.6779
A008746,Microempresa,Otras,2266512,831,0,1219021,0.4,0.007552,0.019149,0.5282
A000623,Automotriz,Otras,712831,764,0,0,0.0,0.01847,0.041304,0.5072
A008238,Tarjeta,Otras,4269583,774,0,5849427,0.4,0.016173,0.047845,0.7236
A000176,Tarjeta,Metropolitana,4738397,803,0,6917550,0.4,0.010987,0.027687,0.6731
A007381,Consumo,Valparaíso,2966133,827,0,0,0.0,0.007968,0.026173,0.6133
A003509,Tarjeta,Biobío,646147,836,35,689871,0.4,0.007062,0.023766,0.6663
A004368,Consumo,Metropolitana,1097613,821,0,0,0.0,0.008635,0.021479,0.6062
A011645,Automotriz,Valparaíso,1225273,629,90,0,0.0,0.104458,0.339806,0.4411
A005357,Automotriz,Metropolitana,1256657,888,0,0,0.0,0.00351,0.011487,0.433
A012364,Consumo,Metropolitana,614198,748,0,0,0.0,0.022826,0.052814,0.6321
A002234,Consumo,Biobío,1886656,843,0,0,0.0,0.006429,0.01357,0.5904
A006874,Consumo,Metropolitana,1363159,815,0,0,0.0,0.009358,0.025666,0.5866
A001800,Tarjeta,Metropolitana,464431,910,0,410296,0.4,0.00261,0.00619,0.7049
A010064,Automotriz,Metropolitana,196157,924,0,0,0.0,0.002161,0.005026,0.3612
A006737,Tarjeta,Valparaíso,1726059,698,90,3589114,0.4,0.043894,0.127456,0.6686
A011113,Consumo,Metropolitana,3034459,851,147,0,0.0,0.005774,0.012884,0.6259
A010328,Tarjeta,Metropolitana,875350,893,0,1832672,0.4,0.003281,0.008594,0.6629
A003073,Automotriz,Biobío,7175103,789,90,0,0.0,0.013245,0.034781,0.4406
A012043,Consumo,Metropolitana,312013,727,0,0,0.0,0.030091,0.070315,0.5829
A013262,Tarjeta,Valparaíso,2089477,811,108,4398257,0.4,0.009872,0.023547,0.6248
A009628,Automotriz,Metropolitana,1748474,762,0,0,0.0,0.018966,0.054962,0.3873
A008291,Tarjeta,Biobío,1510394,847,0,2733965,0.4,0.006092,0.020187,0.715
A002728,Tarjeta,Otras,5038667,568,130,3296987,0.4,0.2101,0.572369,0.7188
A006797,Consumo,Biobío,1408451,813,0,0,0.0,0.009612,0.030843,0.6559
A007059,Tarjeta,Otras,615218,864,0,475047,0.4,0.004848,0.010248,0.73
A006857,Tarjeta,Metropolitana,2692582,809,0,3485980,0.4,0.01014,0.022993,0.7172
A000788,Consumo,Metropolitana,1230837,923,0,0,0.0,0.00219,0.004659,0.5631
A001318,Consumo,Metropolitana,1295711,870,0,0,0.0,0.004472,0.010542,0.7347
A012923,Consumo,Metropolitana,860119,776,0,0,0.0,0.015749,0.053052,0.563
A001930,Consumo,Otras,4320837,784,0,0,0.0,0.014158,0.030734,0.6511
A009124,Microempresa,Metropolitana,1185195,811,0,602100,0.4,0.009872,0.028387,0.561
A001643,Consumo,Metropolitana,1383125,854,0,0,0.0,0.005546,0.014434,0.6614
A004115,Consumo,Otras,2106734,844,0,0,0.0,0.006343,0.015112,0.5738
A000951,Tarjeta,Otras,2947511,759,213,2112642,0.4,0.019735,0.056435,0.846
A009699,Consumo,Metropolitana,754958,810,77,0,0.0,0.010005,0.031374,0.6262
A003215,Automotriz,Metropolitana,1392035,906,0,0,0.0,0.002754,0.005979,0.3045
A011346,Automotriz,Valparaíso,1939504,848,0,0,0.0,0.006011,0.016648,0.3225
A011241,Tarjeta,Metropolitana,1359601,950,16,1142794,0.4,0.001522,0.00331,0.6912
A010122,Consumo,Otras,1090367,944,0,0,0.0,0.00165,0.00544,0.6468
A005838,Consumo,Metropolitana,3478640,828,0,0,0.0,0.007862,0.02297,0.5869
A011806,Consumo,Otras,805694,791,32,0,0.0,0.012896,0.042578,0.6831
A010523,Automotriz,Metropolitana,3539583,826,0,0,0.0,0.008076,0.022576,0.4958
A010599,Tarjeta,Biobío,343969,794,0,458958,0.4,0.01239,0.040268,0.7841
A009241,Microempresa,Biobío,2521418,845,0,3875632,0.4,0.006258,0.020671,0.5069
A006078,Automotriz,Metropolitana,1864334,795,0,0,0.0,0.012226,0.033081,0.4036
A000146,Consumo,Metropolitana,735262,794,0,0,0.0,0.01239,0.032975,0.5794
A003632,Microempresa,Metropolitana,772123,915,0,1568958,0.4,0.00244,0.005774,0.5775
A006692,Automotriz,Otras,1914764,806,0,0,0.0,0.010555,0.027475,0.3985
A001929,Consumo,Metropolitana,319124,896,166,0,0.0,0.003151,0.009127,0.7509
A001340,Consumo,Metropolitana,349950,790,30,0,0.0,0.013069,0.032485,0.5494
A012304,Tarjeta,Otras,4099481,791,0,8117046,0.4,0.012896,0.033375,0.6809
A004152,Consumo,Metropolitana,12133361,896,0,0,0.0,0.003151,0.010377,0.6366
A011001,Consumo,Biobío,579233,835,0,0,0.0,0.007157,0.017478,0.6727
A014026,Automotriz,Biobío,705481,875,0,0,0.0,0.004181,0.011795,0.4015
A001431,Microempresa,Valparaíso,3699437,670,213,7222623,0.4,0.062814,0.142634,0.4153
A008833,Automotriz,Metropolitana,1725238,852,40,0,0.0,0.005697,0.016294,0.3294
A000257,Consumo,Metropolitana,680500,950,0,0,0.0,0.001522,0.003315,0.5998
A014384,Tarjeta,Valparaíso,330140,868,0,507144,0.4,0.004594,0.012191,0.7465
A003812,Consumo,Metropolitana,834449,867,0,0,0.0,0.004656,0.015491,0.7455
A014059,Tarjeta,Biobío,3053278,716,342,2422006,0.4,0.034746,0.091148,0.7449
A014222,Microempresa,Biobío,276636,873,0,500972,0.4,0.004295,0.010062,0.5369
A002449,Tarjeta,Otras,2827860,599,90,3465127,0.4,0.148901,0.385686,0.6698
A000879,Consumo,Biobío,2468303,872,0,0,0.0,0.004353,0.01154,0.6914
A004398,Automotriz,Valparaíso,762008,827,0,0,0.0,0.007968,0.025684,0.391
A012239,Tarjeta,Valparaíso,922265,816,0,299479,0.4,0.009233,0.028049,0.6725
A012591,Consumo,Metropolitana,693638,855,0,0,0.0,0.005472,0.018001,0.6107
A000064,Consumo,Otras,2304491,750,0,0,0.0,0.022231,0.070079,0.6748
A001363,Consumo,Biobío,625460,791,0,0,0.0,0.012896,0.036842,0.5806
A000220,Consumo,Otras,1375150,842,0,0,0.0,0.006516,0.019173,0.5442
A009060,Automotriz,Metropolitana,564096,893,0,0,0.0,0.003281,0.008825,0.3534
A004586,Automotriz,Metropolitana,2106759,910,0,0,0.0,0.00261,0.00747,0.4192
A006512,Tarjeta,Metropolitana,1563769,758,0,2253987,0.4,0.019999,0.065573,0.6641
A014634,Automotriz,Biobío,2500887,824,90,0,0.0,0.008295,0.028015,0.3881
A007760,Consumo,Metropolitana,725013,846,0,0,0.0,0.006175,0.014819,0.6753
A009678,Consumo,Biobío,1567794,703,0,0,0.0,0.041145,0.111734,0.624
A005302,Consumo,Metropolitana,4149238,950,0,0,0.0,0.001522,0.004011,0.6137
A003217,Tarjeta,Valparaíso,2985487,764,90,5334766,0.4,0.01847,0.047705,0.7549
A002596,Tarjeta,Otras,3011858,885,45,1531184,0.4,0.003655,0.008107,0.7476
A007958,Consumo,Metropolitana,1596206,815,0,0,0.0,0.009358,0.019848,0.6014
A003302,Tarjeta,Metropolitana,2211616,876,0,3217507,0.4,0.004125,0.013285,0.7762
A008348,Consumo,Metropolitana,821947,834,0,0,0.0,0.007254,0.023704,0.6699
A002472,Microempresa,Otras,890832,849,0,598952,0.4,0.005931,0.013756,0.5763
A008803,Consumo,Valparaíso,843747,829,0,0,0.0,0.007757,0.024683,0.6251
A011461,Consumo,Otras,1347573,926,0,0,0.0,0.002103,0.005082,0.6956
A000185,Automotriz,Metropolitana,1845917,870,0,0,0.0,0.004472,0.009855,0.3195
A012472,Consumo,Otras,462448,792,0,0,0.0,0.012725,0.036323,0.6416
A014263,Tarjeta,Valparaíso,5389081,889,85,9503752,0.4,0.003463,0.008561,0.7525
A004950,Tarjeta,Otras,5417015,808,17,8813869,0.4,0.010276,0.033941,0.6787
A005533,Microempresa,Otras,473669,928,0,800303,0.4,0.002047,0.004974,0.591
A010590,Tarjeta,Biobío,1049540,851,0,611929,0.4,0.005774,0.014712,0.7182
A008784,Consumo,Metropolitana,1379046,777,0,0,0.0,0.01554,0.035137,0.6001
A004421,Consumo,Biobío,1709497,787,0,0,0.0,0.013603,0.045943,0.6384
A014891,Microempresa,Metropolitana,946798,845,0,1829387,0.4,0.006258,0.019538,0.5544
A003318,Tarjeta,Metropolitana,602829,854,0,705135,0.4,0.005546,0.013349,0.7294
A001928,Tarjeta,Valparaíso,346633,822,0,727432,0.4,0.00852,0.018486,0.6174
A005697,Microempresa,Otras,2772011,918,74,1111532,0.4,0.002343,0.005625,0.5735
A013365,Tarjeta,Valparaíso,394472,796,0,249958,0.4,0.012064,0.039531,0.7058
A006996,Tarjeta,Valparaíso,386452,894,0,702052,0.4,0.003237,0.007777,0.6837
A011824,Consumo,Valparaíso,4107455,950,0,0,0.0,0.001522,0.004554,0.533
A002146,Tarjeta,Biobío,8756981,853,0,15564363,0.4,0.005621,0.018573,0.7426
A014110,Microempresa,Metropolitana,4659445,894,0,4649113,0.4,0.003237,0.010585,0.4646
A009325,Tarjeta,Biobío,619872,826,0,1326215,0.4,0.008076,0.025947,0.7382
A006441,Consumo,Biobío,2960451,827,119,0,0.0,0.007968,0.024448,0.594
A002652,Tarjeta,Metropolitana,1180268,851,61,1993253,0.4,0.005774,0.019075,0.6648
A013136,Tarjeta,Otras,3891131,618,197,1905267,0.4,0.119203,0.360298,0.7483
A007109,Consumo,Biobío,2886780,813,166,0,0.0,0.009612,0.02274,0.7081
A013340,Microempresa,Metropolitana,2100332,921,0,4267999,0.4,0.00225,0.005295,0.4398
A004543,Consumo,Valparaíso,801278,758,0,0,0.0,0.019999,0.045259,0.6312
A002342,Consumo,Biobío,574608,751,0,0,0.0,0.021939,0.059673,0.6146
A002107,Automotriz,Otras,1902555,873,0,0,0.0,0.004295,0.014263,0.39
A011817,Automotriz,Metropolitana,1192761,844,0,0,0.0,0.006343,0.021431,0.4894
A011852,Microempresa,Otras,3109720,931,0,4014189,0.4,0.001966,0.00423,0.5608
A010033,Consumo,Metropolitana,555434,831,0,0,0.0,0.007552,0.025101,0.5928
A012937,Automotriz,Metropolitana,1864678,764,24,0,0.0,0.01847,0.04242,0.3942
A009564,Tarjeta,Metropolitana,3609284,763,0,5416838,0.4,0.018716,0.046552,0.6358
A007043,Consumo,Metropolitana,3512590,917,0,0,0.0,0.002375,0.00688,0.5107
A010105,Consumo,Otras,4048399,677,0,0,0.0,0.05747,0.126057,0.6113
A002654,Consumo,Biobío,377237,950,0,0,0.0,0.001522,0.004281,0.6322
A011686,Consumo,Metropolitana,1798845,782,114,0,0.0,0.01454,0.035024,0.6435
A003106,Consumo,Biobío,2308488,947,0,0,0.0,0.001584,0.004254,0.6452
A008634,Consumo,Metropolitana,3026087,758,0,0,0.0,0.019999,0.053983,0.5464
A013645,Consumo,Otras,2590388,796,0,0,0.0,0.012064,0.033243,0.6162
A013683,Automotriz,Biobío,4217090,504,104,0,0.0,0.387114,0.97,0.3473
A012901,Automotriz,Metropolitana,1709334,900,0,0,0.0,0.002986,0.007997,0.3777
A004160,Consumo,Valparaíso,2132251,908,0,0,0.0,0.002681,0.007282,0.6641
A003356,Consumo,Metropolitana,811381,777,0,0,0.0,0.01554,0.042144,0.5786
A001765,Tarjeta,Metropolitana,2713509,752,78,5837369,0.4,0.021651,0.069159,0.6846
A013098,Consumo,Valparaíso,2436385,688,63,0,0.0,0.049928,0.120829,0.7026
A005591,Tarjeta,Metropolitana,583849,815,0,830353,0.4,0.009358,0.028153,0.678
A002589,Consumo,Metropolitana,819017,834,0,0,0.0,0.007254,0.021571,0.6567
A003154,Consumo,Metropolitana,1833388,861,0,0,0.0,0.005048,0.012995,0.6799
A013621,Consumo,Biobío,1278437,836,0,0,0.0,0.007062,0.023033,0.6084
A004699,Automotriz,Metropolitana,796387,814,23,0,0.0,0.009484,0.021066,0.4978
A001868,Consumo,Otras,1086198,950,0,0,0.0,0.001522,0.003696,0.647
A008016,Tarjeta,Metropolitana,494507,909,0,366805,0.4,0.002645,0.008203,0.7212
A009783,Consumo,Metropolitana,484047,723,0,0,0.0,0.031709,0.088194,0.5892
A002135,Consumo,Metropolitana,650216,691,18,0,0.0,0.04804,0.109694,0.5603
A001142,Tarjeta,Metropolitana,1116185,788,51,2342628,0.4,0.013423,0.030861,0.6671
A011707,Automotriz,Metropolitana,5143074,797,0,0,0.0,0.011904,0.031842,0.3046
A009301,Tarjeta,Metropolitana,578659,843,0,648054,0.4,0.006429,0.017535,0.6793
A008068,Automotriz,Metropolitana,1270190,766,0,0,0.0,0.017986,0.049653,0.3211
A005637,Automotriz,Metropolitana,1837031,674,0,0,0.0,0.059706,0.140486,0.3411
A002968,Consumo,Metropolitana,742442,809,0,0,0.0,0.01014,0.02314,0.6173
A006289,Consumo,Metropolitana,2999486,555,309,0,0.0,0.240736,0.65465,0.5221
A013345,Consumo,Metropolitana,1194899,867,0,0,0.0,0.004656,0.015001,0.5639
A004831,Consumo,Metropolitana,1882067,800,0,0,0.0,0.011436,0.036226,0.6491
A009738,Consumo,Metropolitana,1291256,755,242,0,0.0,0.020809,0.058106,0.5713
A007193,Consumo,Metropolitana,4992895,835,0,0,0.0,0.007157,0.01551,0.6109
A014844,Microempresa,Metropolitana,904208,845,0,1836624,0.4,0.006258,0.017346,0.496
A014883,Tarjeta,Metropolitana,3416335,817,0,3460114,0.4,0.00911,0.026659,0.6031
A010800,Automotriz,Metropolitana,585738,861,0,0,0.0,0.005048,0.01374,0.4078
A005467,Automotriz,Metropolitana,3346886,634,90,0,0.0,0.098304,0.292501,0.4285
A013087,Automotriz,Valparaíso,973573,838,3,0,0.0,0.006875,0.015843,0.2519
A007991,Tarjeta,Metropolitana,1921594,792,0,2174968,0.4,0.012725,0.038929,0.6534
A005352,Consumo,Otras,769168,894,0,0,0.0,0.003237,0.009863,0.6065
A010439,Consumo,Valparaíso,1410052,908,61,0,0.0,0.002681,0.006253,0.5536
A000866,Tarjeta,Valparaíso,729269,854,0,1026902,0.4,0.005546,0.01296,0.6911
A004284,Consumo,Otras,6370112,807,0,0,0.0,0.010415,0.032745,0.6989
A001373,Consumo,Otras,1998933,831,0,0,0.0,0.007552,0.018811,0.5886
A003034,Tarjeta,Metropolitana,1651071,788,0,1712479,0.4,0.013423,0.029118,0.7193
A014427,Consumo,Biobío,2216743,950,0,0,0.0,0.001522,0.004465,0.6602
A009662,Tarjeta,Biobío,1266897,854,130,1627078,0.4,0.005546,0.016626,0.691
A009521,Consumo,Metropolitana,2408077,665,6,0,0.0,0.066911,0.217855,0.6824
A000225,Microempresa,Metropolitana,381236,833,71,513445,0.4,0.007352,0.016807,0.4731
A004860,Consumo,Otras,936777,893,0,0,0.0,0.003281,0.009794,0.5459
A009785,Microempresa,Metropolitana,99255,813,0,103486,0.4,0.009612,0.02445,0.5672
A001911,Tarjeta,Otras,1616485,836,0,3193763,0.4,0.007062,0.018755,0.6102
A014901,Consumo,Metropolitana,1147046,945,0,0,0.0,0.001628,0.004541,0.5113
A008834,Automotriz,Valparaíso,985162,861,0,0,0.0,0.005048,0.011,0.4111
A003202,Tarjeta,Biobío,2332950,950,0,1904972,0.4,0.001522,0.003571,0.6772
A005055,Tarjeta,Biobío,862232,899,0,1448590,0.4,0.003027,0.00639,0.6424
A003391,Consumo,Metropolitana,5904094,817,0,0,0.0,0.00911,0.026826,0.6982
A005555,Tarjeta,Biobío,1400379,916,71,1644500,0.4,0.002407,0.005393,0.7218
A002629,Consumo,Otras,722121,878,0,0,0.0,0.004016,0.009133,0.6349
A004606,Microempresa,Otras,1263304,817,0,1162663,0.4,0.00911,0.030197,0.5628
A013631,Consumo,Metropolitana,197569,849,0,0,0.0,0.005931,0.01972,0.4888
A008927,Consumo,Otras,5296223,702,119,0,0.0,0.041681,0.122041,0.5784
A011274,Consumo,Valparaíso,774457,749,0,0,0.0,0.022527,0.070897,0.6321
A003552,Tarjeta,Metropolitana,2232934,700,0,2326116,0.4,0.042774,0.104252,0.6832
A000869,Consumo,Metropolitana,321206,871,0,0,0.0,0.004412,0.010728,0.7134
A014995,Consumo,Valparaíso,2540535,865,0,0,0.0,0.004783,0.012604,0.5801
A007565,Microempresa,Metropolitana,734013,827,0,1571871,0.4,0.007968,0.019209,0.5532
A013453,Consumo,Otras,579452,804,0,0,0.0,0.010841,0.026327,0.592
A004188,Consumo,Otras,2193367,848,0,0,0.0,0.006011,0.018037,0.6516
A004727,Microempresa,Metropolitana,1782493,722,5,584955,0.4,0.032127,0.078471,0.543
A009984,Automotriz,Biobío,1859913,798,0,0,0.0,0.011746,0.0278,0.3724
A011957,Consumo,Valparaíso,2532168,834,0,0,0.0,0.007254,0.017812,0.6157
A013844,Tarjeta,Metropolitana,1457729,950,0,2160971,0.4,0.001522,0.003986,0.6841
A011481,Tarjeta,Metropolitana,134349,842,0,157759,0.4,0.006516,0.01873,0.6749
A005924,Automotriz,Otras,3473398,804,0,0,0.0,0.010841,0.02748,0.4727
A014517,Consumo,Metropolitana,735394,900,90,0,0.0,0.002986,0.006573,0.7515
A001286,Microempresa,Metropolitana,671856,777,0,886764,0.4,0.01554,0.034179,0.6189
A009498,Consumo,Metropolitana,2718847,834,0,0,0.0,0.007254,0.02297,0.5174
A006216,Tarjeta,Metropolitana,1083157,831,24,1063570,0.4,0.007552,0.018503,0.7549
A007786,Tarjeta,Biobío,3668231,803,137,4973843,0.4,0.010987,0.033576,0.706
A006112,Consumo,Otras,3165323,847,0,0,0.0,0.006092,0.020187,0.5716
A013626,Tarjeta,Metropolitana,640187,743,0,234664,0.4,0.024383,0.082383,0.7678
A001351,Consumo,Metropolitana,616930,869,0,0,0.0,0.004533,0.012455,0.6172
A010525,Microempresa,Metropolitana,1844696,707,0,2713730,0.4,0.039064,0.091394,0.5995
A004308,Consumo,Biobío,2642493,792,0,0,0.0,0.012725,0.0331,0.5757
A003614,Consumo,Biobío,4182387,786,178,0,0.0,0.013785,0.029698,0.7121
A004566,Tarjeta,Metropolitana,4645610,762,90,2088146,0.4,0.018966,0.050905,0.6934
A009258,Consumo,Metropolitana,3221406,950,0,0,0.0,0.001522,0.004681,0.5177
A014897,Tarjeta,Metropolitana,1055300,805,0,1843680,0.4,0.010697,0.024001,0.7349
A006492,Automotriz,Biobío,3031275,681,103,0,0.0,0.054612,0.180277,0.4521
A009194,Automotriz,Otras,2509886,789,0,0,0.0,0.013245,0.038454,0.4535
A010711,Microempresa,Biobío,514745,875,0,929795,0.4,0.004181,0.011624,0.5167
A012265,Consumo,Otras,7477202,911,0,0,0.0,0.002575,0.006577,0.7082
A002504,Automotriz,Valparaíso,2469683,861,0,0,0.0,0.005048,0.011986,0.3536
A014980,Consumo,Valparaíso,2062549,829,14,0,0.0,0.007757,0.019474,0.5752
A006516,Automotriz,Otras,303369,909,0,0,0.0,0.002645,0.007992,0.3989
A012869,Automotriz,Otras,1343997,785,0,0,0.0,0.01397,0.038046,0.3608
A001040,Consumo,Metropolitana,701808,753,0,0,0.0,0.021367,0.060428,0.5687
A007287,Tarjeta,Otras,3521989,777,0,3797009,0.4,0.01554,0.035028,0.7697
A001614,Consumo,Metropolitana,1372524,800,0,0,0.0,0.011436,0.02849,0.6512
A010951,Automotriz,Valparaíso,1983394,830,0,0,0.0,0.007654,0.02419,0.409
A001349,Tarjeta,Biobío,566622,633,0,1045528,0.4,0.099508,0.281327,0.7139
A006283,Automotriz,Biobío,1271240,840,34,0,0.0,0.006693,0.019195,0.3633
A013055,Consumo,Metropolitana,3364503,808,0,0,0.0,0.010276,0.033183,0.6061
A002349,Consumo,Biobío,1756741,787,307,0,0.0,0.013603,0.04375,0.6002
A006018,Consumo,Metropolitana,838741,817,0,0,0.0,0.00911,0.027129,0.6244
A004427,Consumo,Metropolitana,1694752,840,0,0,0.0,0.006693,0.018163,0.6897
A011938,Automotriz,Valparaíso,2622625,658,0,0,0.0,0.073065,0.243295,0.3236
A011557,Tarjeta,Otras,708113,871,0,516944,0.4,0.004412,0.012838,0.6866
A012382,Tarjeta,Metropolitana,2699875,789,0,3474305,0.4,0.013245,0.039039,0.7007
A011440,Tarjeta,Metropolitana,3399428,745,0,7186690,0.4,0.023748,0.055043,0.7298
A012509,Tarjeta,Biobío,899143,897,0,1552272,0.4,0.003109,0.009781,0.7263
A003827,Automotriz,Biobío,2547421,779,171,0,0.0,0.015132,0.032281,0.3051
A003378,Consumo,Metropolitana,607544,758,0,0,0.0,0.019999,0.057162,0.653
A008885,Automotriz,Valparaíso,1765062,608,0,0,0.0,0.134137,0.40391,0.3822
A012146,Automotriz,Metropolitana,5012845,617,0,0,0.0,0.120629,0.359186,0.4027
A002715,Tarjeta,Metropolitana,3255288,796,0,4434951,0.4,0.012064,0.034965,0.6898
A003781,Automotriz,Metropolitana,6624340,950,0,0,0.0,0.001522,0.004219,0.3156
A014165,Automotriz,Otras,114637,911,0,0,0.0,0.002575,0.008293,0.526
A009311,Microempresa,Metropolitana,1636654,781,8,840129,0.4,0.014735,0.047115,0.5511
A009531,Tarjeta,Valparaíso,4643119,843,0,1472664,0.4,0.006429,0.016487,0.6309
A013041,Tarjeta,Metropolitana,6190587,713,157,11235658,0.4,0.036132,0.118423,0.7727
A008306,Consumo,Metropolitana,1031310,839,95,0,0.0,0.006783,0.021097,0.5856
A008805,Consumo,Valparaíso,4943238,838,0,0,0.0,0.006875,0.022227,0.6337
